"","W1","Count"
"1","the",294110
"2","to",191762
"3","and",160530
"4","a",158385
"5","i",156811
"6","of",128651
"7","in",103181
"8","you",86521
"9","is",81642
"10","for",77275
"11","it",75209
"12","that",73724
"13","on",57248
"14","my",56527
"15","with",48002
"16","this",43112
"17","was",41169
"18","be",40623
"19","have",39723
"20","at",37719
"21","are",36096
"22","but",34740
"23","me",34283
"24","we",33917
"25","so",33155
"26","not",31036
"27","as",30811
"28","all",27582
"29","your",27328
"30","just",25384
"31","from",24244
"32","up",23482
"33","out",23179
"34","what",22947
"35","like",22696
"36","he",22640
"37","they",22356
"38","if",22170
"39","or",22154
"40","s",22120
"41","one",21620
"42","will",21551
"43","about",21057
"44","its",20469
"45","can",20067
"46","do",20059
"47","im",19946
"48","by",19316
"49","when",18906
"50","an",18573
"51","get",18490
"52","time",17417
"53","there",16737
"54","more",16187
"55","his",15735
"56","some",15493
"57","had",15476
"58","good",15262
"59","love",15191
"60","no",15186
"61","who",15106
"62","our",14893
"63","has",14827
"64","now",14787
"65","day",14761
"66","her",14627
"67","how",14265
"68","know",14130
"69","would",13844
"70","were",13242
"71","she",13064
"72","new",13044
"73","their",12519
"74","been",12481
"75","them",12175
"76","go",11906
"77","dont",11818
"78","see",11691
"79","people",11438
"80","back",11113
"81","t",10883
"82","great",10862
"83","think",10395
"84","make",10146
"85","well",10130
"86","am",9962
"87","us",9949
"88","much",9791
"89","today",9767
"90","too",9766
"91","really",9758
"92","thanks",9644
"93","going",9641
"94","then",9499
"95","only",9326
"96","rt",9076
"97","which",8911
"98","u",8855
"99","into",8796
"100","than",8780
"101","got",8761
"102","first",8734
"103","over",8687
"104","want",8636
"105","because",8541
"106","way",8526
"107","right",8353
"108","here",8316
"109","did",8233
"110","work",8226
"111","need",8199
"112","him",8118
"113","even",7994
"114","other",7852
"115","still",7803
"116","last",7798
"117","after",7662
"118","life",7641
"119","very",7601
"120","also",7534
"121","said",7525
"122","off",7438
"123","could",7371
"124","lol",7240
"125","year",7039
"126","where",6918
"127","come",6846
"128","any",6788
"129","little",6743
"130","cant",6724
"131","should",6664
"132","down",6662
"133","why",6618
"134","two",6503
"135","these",6493
"136","never",6480
"137","being",6423
"138","say",6392
"139","night",6356
"140","take",6332
"141","happy",6249
"142","things",6152
"143","most",6152
"144","best",6099
"145","many",6066
"146","made",5971
"147","before",5937
"148","those",5912
"149","something",5813
"150","always",5785
"151","next",5761
"152","week",5704
"153","thats",5401
"154","follow",5385
"155","years",5329
"156","home",5307
"157","may",5253
"158","world",5247
"159","better",5242
"160","look",5229
"161","while",5158
"162","hope",5157
"163","every",5078
"164","again",5070
"165","around",5048
"166","show",5045
"167","feel",5017
"168","through",4995
"169","long",4916
"170","d",4886
"171","thank",4844
"172","m",4797
"173","youre",4732
"174","sure",4714
"175","man",4709
"176","tonight",4680
"177","another",4674
"178","thing",4672
"179","let",4650
"180","ever",4591
"181","ill",4505
"182","big",4493
"183","getting",4450
"184","oh",4428
"185","few",4410
"186","same",4371
"187","ive",4365
"188","game",4357
"189","keep",4346
"190","find",4333
"191","god",4250
"192","yes",4202
"193","old",4195
"194","use",4170
"195","book",4155
"196","school",4149
"197","looking",4104
"198","please",4090
"199","does",4084
"200","days",4056
"201","help",4052
"202","own",4041
"203","give",3998
"204","doing",3885
"205","morning",3885
"206","everyone",3864
"207","fun",3844
"208","such",3697
"209","lot",3687
"210","didnt",3677
"211","thought",3667
"212","someone",3662
"213","away",3661
"214","put",3622
"215","place",3620
"216","though",3619
"217","since",3598
"218","friends",3596
"219","wait",3591
"220","until",3586
"221","done",3549
"222","free",3508
"223","tell",3481
"224","house",3457
"225","having",3443
"226","bad",3428
"227","start",3409
"228","nice",3358
"229","tomorrow",3358
"230","th",3343
"231","pretty",3338
"232","read",3335
"233","used",3317
"234","live",3317
"235","both",3301
"236","family",3299
"237","each",3286
"238","part",3277
"239","twitter",3270
"240","end",3258
"241","might",3249
"242","weekend",3210
"243","went",3177
"244","hard",3150
"245","don",3102
"246","without",3085
"247","call",3079
"248","real",3078
"249","actually",3069
"250","music",3060
"251","stop",3057
"252","try",3027
"253","yet",3015
"254","soon",3001
"255","awesome",2982
"256","found",2961
"257","maybe",2960
"258","enough",2959
"259","play",2929
"260","working",2905
"261","already",2899
"262","making",2897
"263","check",2896
"264","must",2891
"265","hey",2878
"266","coming",2870
"267","makes",2866
"268","everything",2865
"269","left",2862
"270","post",2859
"271","w",2837
"272","haha",2834
"273","story",2818
"274","times",2806
"275","once",2784
"276","re",2775
"277","nothing",2771
"278","trying",2765
"279","myself",2750
"280","girl",2723
"281","anything",2713
"282","bit",2684
"283","kids",2683
"284","amazing",2682
"285","food",2677
"286","three",2674
"287","watching",2667
"288","high",2662
"289","person",2652
"290","guys",2647
"291","yeah",2643
"292","anyone",2628
"293","talk",2623
"294","name",2612
"295","different",2605
"296","friend",2586
"297","ready",2581
"298","set",2575
"299","came",2575
"300","job",2563
"301","team",2556
"302","believe",2555
"303","far",2555
"304","miss",2541
"305","watch",2539
"306","money",2537
"307","head",2529
"308","together",2492
"309","blog",2488
"310","point",2484
"311","course",2472
"312","wish",2463
"313","city",2444
"314","beautiful",2442
"315","between",2434
"316","pm",2426
"317","hear",2414
"318","run",2379
"319","change",2376
"320","says",2370
"321","top",2367
"322","p",2357
"323","gonna",2356
"324","started",2351
"325","cool",2348
"326","hate",2343
"327","room",2339
"328","least",2328
"329","called",2319
"330","party",2318
"331","true",2317
"332","took",2313
"333","win",2310
"334","doesnt",2310
"335","remember",2298
"336","full",2283
"337","told",2275
"338","heart",2274
"339","ve",2272
"340","mind",2259
"341","wanted",2247
"342","white",2233
"343","saw",2230
"344","kind",2219
"345","during",2218
"346","com",2215
"347","birthday",2210
"348","mean",2207
"349","friday",2206
"350","finally",2202
"351","favorite",2200
"352","state",2199
"353","open",2189
"354","almost",2181
"355","whole",2163
"356","lets",2159
"357","whats",2140
"358","black",2137
"359","following",2128
"360","idea",2122
"361","o",2115
"362","probably",2105
"363","looks",2099
"364","b",2096
"365","else",2090
"366","excited",2086
"367","able",2081
"368","baby",2077
"369","business",2068
"370","hours",2067
"371","hes",2062
"372","small",2060
"373","st",2060
"374","tweet",2059
"375","face",2054
"376","id",2051
"377","early",2047
"378","children",2046
"379","class",2046
"380","minutes",2031
"381","second",2026
"382","movie",2024
"383","thinking",2016
"384","seen",2015
"385","reading",2009
"386","season",2005
"387","forward",2002
"388","less",1991
"389","care",1984
"390","stuff",1982
"391","stay",1979
"392","using",1978
"393","under",1977
"394","half",1977
"395","later",1973
"396","guy",1967
"397","shit",1966
"398","ago",1952
"399","writing",1950
"400","side",1949
"401","fact",1945
"402","weeks",1943
"403","word",1941
"404","song",1925
"405","past",1917
"406","sleep",1914
"407","words",1913
"408","mom",1909
"409","news",1907
"410","sorry",1907
"411","water",1906
"412","ask",1902
"413","others",1898
"414","against",1885
"415","taking",1881
