"","W1","W2","W3","W4","W5","Count"
"1","at","the","end","of","the",245
"2","in","the","middle","of","the",129
"3","thank","you","so","much","for",111
"4","for","the","first","time","in",110
"5","thanks","for","the","shout","out",89
"6","cant","wait","to","see","you",85
"7","is","going","to","be","a",82
"8","let","me","know","if","you",80
"9","the","end","of","the","day",80
"10","i","love","you","so","much",80
"11","i","cant","wait","to","see",78
"12","happy","mothers","day","to","all",78
"13","its","going","to","be","a",72
"14","for","the","rest","of","the",71
"15","to","be","a","part","of",67
"16","thanks","so","much","for","the",66
"17","this","is","going","to","be",64
"18","by","the","end","of","the",64
"19","there","are","a","lot","of",63
"20","i","don","t","want","to",60
"21","the","other","side","of","the",59
"22","for","those","of","you","who",58
"23","the","middle","of","the","night",57
"24","is","one","of","the","most",56
"25","hope","you","have","a","great",54
"26","for","a","chance","to","win",53
"27","mothers","day","to","all","the",53
"28","i","thought","it","would","be",51
"29","thanks","for","the","heads","up",49
"30","keep","up","the","good","work",49
"31","cake","cake","cake","cake","cake",49
"32","the","rest","of","the","world",47
"33","thank","you","for","the","follow",47
"34","if","you","would","like","to",46
"35","cant","wait","to","see","what",45
"36","what","do","you","think","of",45
"37","a","couple","of","weeks","ago",45
"38","let","me","know","what","you",44
"39","on","the","other","side","of",44
"40","i","have","no","idea","what",43
"41","thank","you","for","the","rt",43
"42","is","it","just","me","or",42
"43","this","is","one","of","the",42
"44","the","rest","of","the","day",42
"45","when","i","was","a","kid",41
"46","thanks","for","the","follow","and",41
"47","at","the","top","of","the",41
"48","i","don","t","know","what",41
"49","that","awkward","moment","when","you",40
"50","am","i","the","only","one",40
"51","hope","to","see","you","there",40
"52","you","don","t","have","to",40
"53","i","don","t","think","i",40
"54","i","m","not","going","to",40
"55","in","the","middle","of","a",39
"56","it","is","going","to","be",39
"57","cant","wait","to","see","the",38
"58","i","wish","i","had","a",38
"59","i","want","to","go","to",38
"60","all","you","have","to","do",38
"61","let","us","know","if","you",37
"62","to","figure","out","how","to",37
"63","thanks","for","the","follow","i",36
"64","thank","you","to","everyone","who",36
"65","the","end","of","the","month",36
"66","you","have","to","do","is",36
"67","and","the","rest","of","the",36
"68","at","the","same","time","i",36
"69","but","at","the","same","time",35
"70","incorporated","in","item","c","above",35
"71","the","side","of","the","road",34
"72","on","the","side","of","the",34
"73","at","the","beginning","of","the",34
"74","if","you","have","any","questions",34
"75","has","nothing","to","do","with",34
"76","me","know","what","you","think",33
"77","looking","forward","to","seeing","you",33
"78","every","once","in","a","while",33
"79","in","item","c","above","pp",33
"80","keep","up","the","great","work",32
"81","going","to","be","a","great",32
"82","let","us","know","what","you",32
"83","i","don","t","know","if",32
"84","you","so","much","for","the",31
"85","i","don","t","know","how",31
"86","hope","you","are","having","a",30
"87","going","to","be","a","long",30
"88","the","rest","of","my","life",30
"89","keep","an","eye","out","for",30
"90","there","is","a","lot","of",30
"91","be","sure","to","check","out",30
"92","i","think","im","going","to",30
"93","is","one","of","my","favorite",30
"94","to","be","one","of","the",30
"95","is","one","of","the","best",30
"96","i","am","looking","forward","to",29
"97","dont","know","what","to","do",29
"98","we","had","a","great","time",29
"99","hope","you","had","a","great",29
"100","had","a","great","time","at",29
"101","i","just","finished","a","mi",29
"102","at","the","bottom","of","the",29
"103","don","t","get","me","wrong",29
"104","to","everyone","who","came","out",28
"105","you","know","what","i","mean",28
"106","with","the","rest","of","the",28
"107","i","want","to","do","is",28
"108","and","at","the","same","time",28
"109","just","finished","a","mi","run",28
"110","finished","a","mi","run","with",28
"111","at","the","end","of","this",28
"112","i","have","a","lot","of",28
"113","john","smith","s","grand","national",28
"114","dont","want","to","go","to",27
"115","im","not","the","only","one",27
"116","thanks","to","everyone","who","came",27
"117","i","dont","know","how","to",27
"118","going","to","be","a","good",27
"119","what","are","you","going","to",27
"120","thank","you","for","your","support",27
"121","this","is","one","of","those",27
"122","spent","a","lot","of","time",27
"123","over","the","course","of","the",27
"124","i","don","t","have","to",27
"125","wordpress","com","is","a","participant",27
"126","com","is","a","participant","in",27
"127","is","a","participant","in","the",27
"128","a","participant","in","the","amazon",27
"129","participant","in","the","amazon","services",27
"130","in","the","amazon","services","llc",27
"131","the","amazon","services","llc","and",27
"132","amazon","services","llc","and","amazon",27
"133","services","llc","and","amazon","eu",27
"134","llc","and","amazon","eu","associates",27
"135","and","amazon","eu","associates","programmes",27
"136","amazon","eu","associates","programmes","designed",27
"137","eu","associates","programmes","designed","to",27
"138","associates","programmes","designed","to","provide",27
"139","programmes","designed","to","provide","a",27
"140","designed","to","provide","a","means",27
"141","to","provide","a","means","for",27
"142","provide","a","means","for","sites",27
"143","a","means","for","sites","to",27
"144","means","for","sites","to","earn",27
"145","for","sites","to","earn","advertising",27
"146","sites","to","earn","advertising","fees",27
"147","to","earn","advertising","fees","by",27
"148","earn","advertising","fees","by","advertising",27
"149","advertising","fees","by","advertising","and",27
"150","fees","by","advertising","and","linking",27
"151","by","advertising","and","linking","to",27
"152","advertising","and","linking","to","amazon",27
"153","and","linking","to","amazon","com",27
"154","linking","to","amazon","com","amazon",27
"155","to","amazon","com","amazon","ca",27
"156","amazon","com","amazon","ca","amazon",27
"157","com","amazon","ca","amazon","co",27
"158","amazon","ca","amazon","co","uk",27
"159","ca","amazon","co","uk","amazon",27
"160","amazon","co","uk","amazon","de",27
"161","co","uk","amazon","de","amazon",27
"162","uk","amazon","de","amazon","fr",27
"163","amazon","de","amazon","fr","amazon",27
"164","de","amazon","fr","amazon","it",27
"165","amazon","fr","amazon","it","and",27
"166","fr","amazon","it","and","amazon",27
"167","amazon","it","and","amazon","es",27
"168","it","and","amazon","es","certain",27
"169","and","amazon","es","certain","content",27
"170","amazon","es","certain","content","that",27
"171","es","certain","content","that","appears",27
"172","certain","content","that","appears","on",27
"173","content","that","appears","on","this",27
"174","that","appears","on","this","website",27
"175","appears","on","this","website","comes",27
"176","on","this","website","comes","from",27
"177","this","website","comes","from","amazon",27
"178","website","comes","from","amazon","services",27
"179","comes","from","amazon","services","llc",27
"180","from","amazon","services","llc","and",27
"181","amazon","services","llc","and","or",27
"182","services","llc","and","or","amazon",27
"183","llc","and","or","amazon","eu",27
"184","and","or","amazon","eu","this",27
"185","or","amazon","eu","this","content",27
