"","W1","Count"
"1","die",88497
"2","der",77141
"3","und",67315
"4","in",46158
"5","das",40484
"6","ich",40474
"7","ist",33159
"8","den",30247
"9","nicht",29418
"10","zu",28026
"11","mit",26822
"12","es",25196
"13","auf",24606
"14","von",23533
"15","ein",23341
"16","für",22469
"17","auch",22220
"18","im",20618
"19","sich",18809
"20","eine",16726
"21","dem",16181
"22","sie",15945
"23","so",15720
"24","noch",14590
"25","aber",14265
"26","an",14072
"27","als",13185
"28","dass",13038
"29","wie",12840
"30","bei",12683
"31","hat",12155
"32","des",11967
"33","aus",11290
"34","wir",11197
"35","nach",11006
"36","man",10868
"37","er",10571
"38","nur",10303
"39","sind",10300
"40","am",10018
"41","was",9977
"42","mal",9685
"43","einen",9280
"44","wird",9217
"45","schon",8921
"46","war",8887
"47","dann",8809
"48","wenn",8807
"49","um",8560
"50","werden",8524
"51","oder",8257
"52","ja",8129
"53","zum",8116
"54","kann",8010
"55","mir",7851
"56","wieder",7828
"57","da",7813
"58","haben",7809
"59","jetzt",7670
"60","vor",7666
"61","mehr",7665
"62","mich",7185
"63","einer",7056
"64","du",6939
"65","über",6846
"66","einem",6726
"67","doch",6563
"68","heute",6504
"69","habe",6367
"70","sein",5980
"71","immer",5637
"72","bin",5208
"73","bis",4886
"74","ihr",4795
"75","zur",4593
"76","gut",4572
"77","muss",4368
"78","hatte",4264
"79","sehr",4209
"80","hier",4096
"81","gibt",4051
"82","alle",4049
"83","keine",4018
"84","durch",3951
"85","uns",3938
"86","viel",3902
"87","diese",3864
"88","geht",3715
"89","denn",3676
"90","morgen",3554
"91","ganz",3437
"92","hab",3432
"93","alles",3418
"94","vom",3414
"95","gegen",3407
"96","d",3368
"97","meine",3363
"98","wurde",3324
"99","beim",3317
"100","können",3270
"101","nun",3217
"102","mein",3147
"103","unter",3116
"104","ab",3064
"105","will",3031
"106","sei",3004
"107","zeit",2976
"108","gerade",2962
"109","ihre",2960
"110","wer",2893
"111","also",2857
"112","damit",2830
"113","weil",2812
"114","soll",2781
"115","einfach",2744
"116","sagte",2733
"117","seine",2714
"118","prozent",2710
"119","seit",2676
"120","etwas",2657
"121","machen",2652
"122","euro",2645
"123","zwei",2618
"124","danke",2583
"125","kommt",2576
"126","neue",2571
"127","jahr",2562
"128","kein",2550
"129","dieser",2501
"130","tag",2469
"131","menschen",2467
"132","erst",2463
"133","ohne",2446
"134","macht",2368
"135","viele",2358
"136","ob",2356
"137","dabei",2329
"138","selbst",2308
"139","euch",2294
"140","eigentlich",2252
"141","wo",2243
"142","waren",2222
"143","dir",2211
"144","jahren",2152
"145","wohl",2144
"146","sagt",2112
"147","würde",2064
"148","wäre",2046
"149","2",2035
"150","nichts",2028
"151","sollte",2004
"152","ins",2002
"153","gute",1977
"154","guten",1971
"155","werde",1969
"156","rt",1953
"157","gleich",1941
"158","anderen",1920
"159","weiter",1914
"160","1",1894
"161","weg",1890
"162","leben",1867
"163","ne",1859
"164","eines",1859
"165","uhr",1858
"166","neuen",1839
"167","3",1827
"168","ersten",1821
"169","müssen",1820
"170","dafür",1809
"171","diesem",1773
"172","lassen",1762
"173","gar",1752
"174","deutschland",1751
"175","sondern",1749
"176","seiner",1741
"177","andere",1724
"178","hätte",1723
"179","dazu",1706
"180","einmal",1699
"181","woche",1697
"182","jahre",1693
"183","schön",1690
"184","welt",1678
"185","drei",1669
"186","dieses",1656
"187","berlin",1654
"188","warum",1651
"189","ende",1649
"190","wirklich",1648
"191","dich",1645
"192","sehen",1644
"193","bereits",1640
"194","ihn",1638
"195","könnte",1596
"196","kommen",1575
"197","steht",1546
"198","wollen",1544
"199","zwischen",1514
"200","besser",1503
"201","ihren",1497
"202","dort",1492
"203","abend",1481
"204","fast",1470
"205","gehen",1455
"206","vielleicht",1446
