"","W1","W2","Count"
"1","in","der",8821
"2","für","die",4414
"3","in","den",4402
"4","mit","dem",3091
"5","auf","die",2766
"6","in","die",2744
"7","und","die",2725
"8","auf","dem",2535
"9","auf","der",2426
"10","mit","der",2373
"11","das","ist",2282
"12","für","den",2201
"13","nicht","mehr",2161
"14","bei","der",2124
"15","von","der",2110
"16","auf","den",1989
"17","an","der",1937
"18","ich","bin",1912
"19","gibt","es",1891
"20","ist","das",1806
"21","aus","dem",1778
"22","dass","die",1724
"23","es","ist",1714
"24","habe","ich",1589
"25","über","die",1557
"26","ist","es",1533
"27","und","der",1504
"28","und","das",1471
"29","sich","die",1441
"30","mit","den",1441
"31","ist","die",1438
"32","auch","die",1423
"33","mit","einem",1405
"34","ich","habe",1401
"35","an","die",1391
"36","aus","der",1354
"37","und","ich",1344
"38","nach","dem",1284
"39","ist","der",1247
"40","noch","nicht",1224
"41","wenn","man",1210
"42","um","die",1203
"43","gar","nicht",1196
"44","wenn","ich",1190
"45","vor","allem",1186
"46","bin","ich",1180
"47","mehr","als",1169
"48","in","einem",1163
"49","an","den",1160
"50","nicht","nur",1155
"51","ist","ein",1136
"52","kann","man",1129
"53","auch","nicht",1116
"54","nicht","so",1109
"55","ich","mich",1101
"56","dass","ich",1100
"57","hab","ich",1086
"58","und","dann",1083
"59","aber","auch",1075
"60","in","einer",1069
"61","für","das",1059
"62","guten","morgen",1052
"63","bei","den",1042
"64","ich","hab",1034
"65","dass","es",1018
"66","ein","paar",1009
"67","durch","die",973
"68","es","gibt",961
"69","nur","noch",951
"70","sind","die",924
"71","von","den",916
"72","kann","ich",897
"73","in","dem",886
"74","mal","wieder",867
"75","dass","sie",867
"76","mit","einer",854
"77","ich","auch",848
"78","wie","die",848
"79","es","nicht",847
"80","hat","sich",844
"81","ich","mir",836
"82","wir","haben",835
"83","in","deutschland",831
"84","nach","der",829
"85","man","sich",826
"86","auch","noch",825
"87","vor","dem",825
"88","ich","nicht",814
"89","zu","den",793
"90","in","diesem",792
"91","aber","nicht",788
"92","für","eine",781
"93","immer","noch",772
"94","geht","es",763
"95","und","den",762
"96","dass","der",752
"97","ist","nicht",750
"98","sie","sich",737
"99","in","berlin",734
"100","auch","in",731
"101","die","sich",724
"102","über","den",713
"103","für","ein",710
"104","gegen","die",708
"105","für","mich",697
"106","nicht","zu",695
"107","ja","auch",693
"108","immer","wieder",689
"109","vor","der",689
"110","zu","sein",676
"111","bei","mir",672
"112","aber","ich",671
"113","ist","eine",665
"114","ist","ja",664
"115","wenn","die",662
"116","ist","auch",659
"117","sich","in",658
"118","danke","für",654
"119","noch","ein",650
"120","das","war",647
"121","und","ein",641
"122","auf","das",641
"123","hast","du",638
"124","wenn","es",633
"125","haben","wir",629
"126","und","in",626
"127","ich","das",626
"128","wir","sind",625
"129","hat","die",624
"130","sich","der",618
"131","wenn","sie",607
"132","nicht","in",601
"133","nicht","die",599
"134","es","in",598
"135","und","auch",597
"136","dass","er",591
"137","haben","die",588
"138","was","ist",579
"139","ich","kann",574
"140","bis","zum",573
"141","für","einen",572
"142","und","es",565
"143","als","die",564
"144","und","so",560
"145","heute","abend",559
"146","zu","einem",559
"147","dass","man",558
"148","aber","die",557
"149","vielen","dank",554
"150","zu","tun",553
"151","ein","bisschen",549
"152","ich","will",549
"153","dass","das",549
"154","muss","ich",537
"155","das","nicht",536
"156","milliarden","euro",535
"157","es","sich",534
"158","von","einem",533
"159","schon","wieder",531
"160","es","auch",530
"161","der","welt",523
"162","auch","der",519
"163","um","den",517
"164","zu","haben",511
"165","wenn","du",510
"166","auch","wenn",507
"167","wir","uns",505
"168","werden","die",505
"169","es","war",505
"170","gab","es",504
"171","und","nicht",503
"172","aus","den",497
"173","ich","die",497
"174","auf","eine",496
"175","sich","nicht",495
"176","gegen","den",493
"177","nach","einem",492
"178","aber","das",490
"179","was","ich",487
"180","und","mit",486
"181","viel","spaß",482
"182","er","sich",478
"183","zu","einer",478
"184","ich","es",477
"185","ist","doch",475
"186","am","ende",475
"187","auch","ein",475
"188","ich","glaube",471
"189","sich","auf",469
"190","nur","die",469
"191","ein","wenig",468
"192","bis","zu",468
"193","die","in",467
"194","so","ein",467
"195","die","die",465
"196","millionen","euro",465
"197","und","eine",463
"198","sich","das",462
"199","wie","ein",461
"200","bei","uns",460
"201","nur","ein",456
"202","zum","beispiel",454
"203","ist","aber",450
"204","in","dieser",449
"205","und","dem",443
"206","bei","dem",441
"207","auch","schon",440
"208","es","geht",440
"209","die","frage",440
"210","wird","es",440
"211","ich","noch",439
"212","was","für",435
"213","dass","wir",434
"214","wie","es",434
"215","die","beiden",429
"216","schon","mal",425
"217","auch","mal",423
"218","muss","man",423
"219","dass","sich",423
"220","auch","für",422
"221","viel","zu",421
"222","durch","den",420
"223","zu","machen",418
"224","auch","das",418
"225","ich","weiß",417
"226","sagte","der",414
"227","war","das",413
"228","hat","der",412
"229","wird","die",412
"230","es","wird",408
"231","wie","der",408
"232","dem","weg",406
"233","sich","mit",405
"234","so","viel",404
"235","wie","ich",401
"236","über","das",397
"237","die","welt",397
"238","am","freitag",396
"239","ist","und",395
"240","der","stadt",395
"241","zu","sehen",392
"242","ich","muss",391
"243","sie","nicht",391
"244","der","deutschen",390
"245","aber","es",390
"246","die","neue",389
"247","auf","einen",388
"248","ist","so",388
"249","nicht","mit",386
"250","ich","ja",385
"251","am","montag",385
"252","nicht","auf",384
"253","du","bist",383
"254","war","der",382
"255","die","ich",381
"256","bei","einem",379
"257","sie","in",379
"258","ist","in",377
"259","im","jahr",376
"260","nach","einer",375
