"","W1","W2","W3","Count"
"1","auf","dem","weg",379
"2","in","den","vergangenen",297
"3","auf","jeden","fall",295
"4","in","diesem","jahr",278
"5","danke","für","die",236
"6","danke","für","den",219
"7","wir","freuen","uns",208
"8","vielen","dank","für",207
"9","in","den","letzten",197
"10","in","den","usa",184
"11","was","für","ein",176
"12","zum","ersten","mal",175
"13","nach","wie","vor",166
"14","ich","freue","mich",159
"15","im","vergangenen","jahr",158
"16","ich","freu","mich",154
"17","in","den","nächsten",151
"18","es","in","der",151
"19","das","ist","ein",150
"20","in","der","nacht",149
"21","den","ganzen","tag",144
"22","in","der","nähe",136
"23","in","der","stadt",135
"24","ein","schönes","wochenende",133
"25","es","ist","ein",131
"26","vor","allem","die",130
"27","die","zahl","der",129
"28","und","in","der",128
"29","auch","in","der",127
"30","das","ist","ja",126
"31","das","erste","mal",123
"32","nicht","nur","die",123
"33","und","ich","bin",121
"34","und","das","ist",120
"35","mit","blick","auf",120
"36","der","suche","nach",119
"37","blick","auf","die",118
"38","in","den","kommenden",116
"39","in","der","regel",115
"40","dank","für","die",113
"41","dass","sich","die",113
"42","auf","den","weg",112
"43","nicht","mehr","so",111
"44","gar","nicht","mehr",111
"45","und","vor","allem",110
"46","da","bin","ich",110
"47","noch","ein","paar",109
"48","was","ist","denn",108
"49","das","ist","doch",107
"50","wenn","man","sich",107
"51","sich","in","der",105
"52","und","ich","habe",104
"53","kann","man","sich",103
"54","immer","noch","nicht",103
"55","auf","der","suche",102
"56","freue","mich","auf",102
"57","das","mit","dem",101
"58","nicht","in","der",98
"59","es","sich","um",98
"60","auch","für","die",96
"61","freuen","uns","auf",95
"62","es","geht","um",94
"63","ich","glaub","ich",94
"64","ist","ja","auch",94
"65","auch","nicht","mehr",94
"66","sich","in","den",92
"67","ich","glaube","ich",92
"68","davon","aus","dass",92
"69","aber","es","ist",91
"70","an","dieser","stelle",90
"71","das","ist","nicht",90
"72","einen","guten","start",90
"73","in","der","ersten",90
"74","gar","nicht","so",90
"75","so","gut","wie",90
"76","start","in","die",88
"77","das","ist","eine",88
"78","in","new","york",88
"79","ist","das","nicht",88
"80","dem","weg","nach",87
"81","auch","in","den",87
"82","das","ist","die",87
"83","auch","wenn","ich",87
"84","habe","ich","mich",87
"85","den","vergangenen","jahren",87
"86","den","vereinigten","staaten",86
"87","aber","das","ist",86
"88","bundeskanzlerin","angela","merkel",86
"89","in","der","lage",85
"90","es","ist","nicht",85
"91","nach","angaben","der",85
"92","ist","in","der",85
"93","und","es","ist",84
"94","dem","weg","zum",84
"95","gibt","es","auch",83
"96","ich","wünsche","euch",83
"97","geht","es","um",83
"98","und","auch","die",83
"99","guten","morgen","und",82
"100","aber","auch","nicht",81
"101","jetzt","bin","ich",81
"102","ich","auch","nicht",81
"103","es","ist","eine",80
"104","die","in","der",80
"105","ich","weiß","nicht",80
"106","auf","den","ersten",79
"107","was","ist","das",79
"108","gibt","es","eine",79
"109","vor","einem","jahr",79
"110","in","der","tat",78
"111","mal","wieder","ein",77
"112","heißt","es","in",77
"113","in","der","zweiten",77
"114","in","der","schule",76
"115","auf","der","straße",76
"116","ich","bin","so",75
"117","ich","finde","es",75
"118","in","höhe","von",75
"119","von","anfang","an",75
"120","da","gibt","es",75
"121","und","ich","hab",75
"122","sie","in","der",75
"123","guten","start","in",75
"124","auf","der","bühne",74
"125","in","der","region",74
"126","nach","angaben","des",73
"127","die","von","der",73
"128","in","der","vergangenen",73
"129","das","ist","das",72
"130","endlich","mal","wieder",72
"131","ist","es","nicht",72
"132","noch","in","der",72
"133","hab","ich","auch",72
"134","habe","ich","mir",72
"135","ja","auch","nicht",70
"136","auf","der","anderen",70
"137","das","ist","der",70
"138","ich","gar","nicht",70
"139","vor","allem","in",70
"140","noch","gar","nicht",69
"141","ich","habe","es",69
"142","kann","man","nicht",69
"143","da","kann","man",69
"144","schon","in","der",69
"145","ist","noch","nicht",69
"146","ich","noch","nicht",69
"147","aber","ich","bin",69
"148","von","mehr","als",69
"149","die","vereinigten","staaten",69
"150","hat","sich","die",68
"151","freu","mich","schon",68
"152","nicht","in","den",68
"153","dass","man","sich",68
"154","aber","auch","die",68
"155","in","diesem","fall",68
"156","ich","habe","mich",67
"157","was","für","eine",67
"158","einen","schönen","tag",67
"159","die","ganze","zeit",67
"160","wenn","man","die",67
"161","im","gegensatz","zu",67
"162","und","für","die",67
"163","sich","auf","die",67
"164","habe","ich","auch",66
"165","ich","bin","ein",66
"166","muss","man","sich",66
"167","in","der","hand",66
"168","wir","haben","uns",66
"169","das","ist","auch",65
"170","im","vergleich","zu",65
"171","in","den","vereinigten",65
"172","im","vergleich","zum",65
"173","handelt","es","sich",65
"174","das","war","ein",65
"175","ist","aber","auch",65
"176","ich","bin","nicht",65
"177","die","hälfte","der",65
"178","auch","nicht","so",64
"179","nicht","in","die",64
"180","nicht","ganz","so",64
"181","gibt","es","einen",64
"182","und","in","den",63
"183","auch","wenn","es",63
"184","mal","sehen","was",63
"185","nicht","so","gut",63
"186","dass","es","sich",62
