"","W1","W2","W3","W4","Count"
"1","auf","der","suche","nach",93
"2","auf","dem","weg","nach",87
"3","in","den","vergangenen","jahren",87
"4","auf","dem","weg","zum",83
"5","wir","freuen","uns","auf",77
"6","vielen","dank","für","die",77
"7","mit","blick","auf","die",67
"8","einen","guten","start","in",64
"9","in","den","vereinigten","staaten",63
"10","auf","den","ersten","blick",58
"11","guten","start","in","die",57
"12","auf","dem","weg","zur",56
"13","auf","der","anderen","seite",56
"14","in","den","letzten","jahren",54
"15","danke","für","den","tipp",50
"16","in","der","vergangenen","woche",50
"17","danke","für","den","hinweis",49
"18","in","der","nacht","zum",47
"19","in","die","neue","woche",46
"20","in","den","vergangenen","wochen",46
"21","in","den","vergangenen","monaten",44
"22","in","den","nächsten","tagen",43
"23","start","in","die","neue",43
"24","auf","dem","weg","zu",39
"25","handelt","es","sich","um",39
"26","alles","gute","zum","geburtstag",38
"27","schon","lange","nicht","mehr",37
"28","bundeskanzlerin","angela","merkel","cdu",36
"29","in","den","vergangenen","tagen",35
"30","es","sich","um","eine",34
"31","in","den","nächsten","jahren",34
"32","start","in","die","woche",33
"33","vielen","dank","für","den",31
"34","wie","wäre","es","mit",30
"35","ich","freue","mich","auf",29
"36","ursula","von","der","leyen",29
"37","ich","freu","mich","schon",28
"38","kann","es","sein","dass",28
"39","freu","mich","schon","auf",28
"40","start","in","den","tag",27
"41","vielen","dank","an","alle",27
"42","ich","wünsche","euch","allen",27
"43","heißt","es","in","der",27
"44","in","den","kommenden","jahren",27
"45","ich","wünsche","euch","einen",26
"46","und","ein","schönes","wochenende",26
"47","wünsche","euch","allen","einen",26
"48","die","europäische","zentralbank","ezb",26
"49","der","europäischen","zentralbank","ezb",26
"50","freue","mich","auf","die",25
"51","so","schnell","wie","möglich",25
"52","nicht","in","der","lage",25
"53","in","der","nähe","von",25
"54","in","den","kommenden","monaten",25
"55","in","den","kommenden","wochen",25
"56","danke","für","die","info",24
"57","allen","ein","schönes","wochenende",24
"58","einen","wunderschönen","guten","morgen",24
"59","wünsche","euch","einen","schönen",23
"60","vielen","dank","für","das",23
"61","wir","freuen","uns","über",23
"62","die","art","und","weise",23
"63","in","den","nächsten","wochen",23
"64","in","den","letzten","tagen",23
"65","euch","allen","einen","schönen",23
"66","an","der","wall","street",23
"67","ich","weiß","nicht","ob",23
"68","in","der","nähe","des",23
"69","ich","freu","mich","auf",22
"70","ich","bin","dann","mal",22
"71","auf","dem","weg","in",22
"72","auf","die","suche","nach",22
"73","auf","der","einen","seite",22
"74","guten","morgen","und","einen",21
"75","mitten","in","der","nacht",21
"76","es","handelt","sich","um",21
"77","danke","an","alle","die",21
"78","zum","ersten","mal","in",21
"79","auch","in","diesem","jahr",21
"80","für","den","fall","dass",21
"81","der","suche","nach","einem",21
"82","mehr","als","die","hälfte",21
"83","sich","in","den","vergangenen",21
"84","was","ist","denn","das",20
"85","ich","glaube","nicht","dass",20
"86","und","dann","auch","noch",20
"87","das","erste","mal","dass",20
"88","danke","für","den","rt",20
"89","im","gegensatz","zu","den",20
"90","das","gilt","auch","für",20
"91","heißt","es","in","dem",20
"92","der","new","york","times",20
"93","guten","morgen","ihr","lieben",19
"94","und","was","ist","mit",19
"95","in","der","nähe","der",19
"96","in","der","kommenden","woche",19
"97","in","den","griff","zu",19
"98","ich","bin","mir","sicher",18
"99","auf","der","ganzen","welt",18
"100","in","die","richtige","richtung",18
"101","wenn","es","um","die",18
"102","allen","einen","guten","start",18
"103","vielen","dank","fürs","folgen",18
"104","in","den","letzten","wochen",18
"105","freue","ich","mich","auf",18
"106","vor","ein","paar","jahren",18
"107","die","eine","oder","andere",18
"108","dem","weg","in","die",18
"109","ich","kann","nicht","mehr",17
"110","da","bin","ich","aber",17
"111","ich","hasse","es","wenn",17
"112","gar","nicht","so","schlecht",17
"113","sieht","so","aus","als",17
"114","geht","es","um","die",17
"115","und","einen","guten","start",17
"116","im","laufe","des","tages",17
"117","in","der","champions","league",17
"118","so","aus","als","ob",17
"119","und","das","ist","auch",17
"120","was","ist","das","denn",17
"121","ist","auf","dem","weg",17
"122","in","der","zweiten","hälfte",17
"123","ich","zum","ersten","mal",17
"124","das","eine","oder","andere",17
"125","im","hinblick","auf","die",17
"126","davon","aus","dass","die",17
"127","in","den","meisten","fällen",17
"128","im","kampf","gegen","die",17
"129","was","hast","du","denn",16
"130","wer","hätte","das","gedacht",16
"131","und","ich","freue","mich",16
"132","einen","guten","rutsch","ins",16
"133","ist","denn","das","für",16
"134","ich","freue","mich","schon",16
"135","in","der","letzten","woche",16
"136","freue","mich","schon","auf",16
"137","da","hast","du","recht",16
"138","guten","morgen","aus","dem",16
"139","tag","der","offenen","tür",16
"140","das","ein","oder","andere",16
"141","was","will","man","mehr",16
"142","gehe","davon","aus","dass",16
"143","eine","frage","der","zeit",16
"144","ist","auf","jeden","fall",16
"145","auf","dem","weg","ins",16
"146","art","und","weise","wie",16
"147","im","großen","und","ganzen",16
"148","stellt","sich","die","frage",16
"149","nach","dem","ende","der",16
"150","in","der","zweiten","halbzeit",16
"151","die","staats","und","regierungschefs",16
"152","als","die","hälfte","der",16
"153","nicht","nur","in","der",15
"154","einen","guten","morgen","und",15
"155","guten","morgen","an","alle",15
"156","allen","eine","gute","nacht",15
"157","jedes","mal","wenn","ich",15
"158","in","der","hoffnung","dass",15
"159","in","den","kommenden","tagen",15
"160","wir","freuen","uns","sehr",15
"161","ich","weiß","gar","nicht",15
"162","mit","blick","auf","den",15
"163","im","zusammenhang","mit","dem",15
"164","es","auf","jeden","fall",15
"165","freuen","uns","auf","euch",15
"166","das","ist","auch","gut",15
"167","wir","wünschen","euch","ein",15
"168","herzlichen","dank","für","die",15
"169","hört","sich","gut","an",15
"170","die","kosten","für","die",15
"171","vielen","dank","für","eure",15
"172","einen","guten","start","ins",15
"173","das","erste","mal","in",15
"174","bei","der","suche","nach",15
"175","bin","ich","froh","dass",15
"176","dass","es","sich","um",15
"177","an","der","seite","von",15
"178","den","griff","zu","bekommen",15
"179","im","laufe","der","zeit",15
"180","vor","allem","in","den",15
"181","staats","und","regierungschefs","der",15
"182","in","der","geschichte","der",15
"183","zum","ersten","mal","seit",14
"184","bin","ich","mal","gespannt",14
"185","wieder","auf","dem","weg",14
"186","ist","ja","nicht","so",14
"187","ich","weiß","ja","nicht",14
"188","ich","kann","mich","nicht",14
"189","mal","in","meinem","leben",14
"190","wünsche","ich","dir","auch",14
"191","dann","wollen","wir","mal",14
"192","es","geht","um","die",14
"193","und","schon","gar","nicht",14
"194","hat","sich","in","den",14
"195","schon","den","ganzen","tag",14
"196","gehen","davon","aus","dass",14
"197","gibt","es","für","die",14
"198","vor","allem","in","der",14
"199","in","der","europäischen","union",14
"200","ist","nach","wie","vor",14
"201","das","vertrauen","in","die",14
"202","kanzlerin","angela","merkel","cdu",14
"203","in","den","vergangenen","zehn",14
"204","ich","noch","gar","nicht",13
"205","hab","ich","was","verpasst",13
"206","dem","weg","nach","hause",13
"207","wie","geil","ist","das",13
"208","wenn","man","sich","die",13
"209","im","vergleich","zum","vorjahreszeitraum",13
"210","dank","an","alle","die",13
"211","mal","sehen","wie","lange",13
"212","mal","sehen","ob","ich",13
"213","two","and","a","half",13
"214","herzlichen","glückwunsch","zum","geburtstag",13
"215","auf","dem","weg","von",13
"216","wir","freuen","uns","schon",13
"217","guten","rutsch","ins","neue",13
"218","hat","jemand","von","euch",13
"219","ist","gar","nicht","so",13
"220","dass","es","sich","bei",13
"221","in","der","regel","nicht",13
"222","nicht","mehr","in","der",13
"223","es","geht","nicht","um",13
"224","danke","für","die","erwähnung",13
"225","nach","einer","halben","stunde",13
"226","was","soll","ich","sagen",13
"227","unter","der","leitung","von",13
"228","mit","von","der","partie",13
"229","ich","habe","das","gefühl",13
"230","nichts","zu","tun","haben",13
"231","die","sich","in","der",13
"232","einer","zeit","in","der",13
"233","stellte","sich","heraus","dass",13
"234","im","vergleich","zu","den",13
"235","in","einem","interview","mit",13
"236","heißt","es","in","einer",13
"237","an","der","spitze","des",13
"238","im","vergleich","zum","vorjahr",13
"239","vor","dem","hintergrund","der",13
"240","in","der","vergangenen","saison",13
"241","in","den","vergangenen","drei",13
"242","das","team","von","trainer",13
"243","bundeskanzlerin","angela","merkel","und",13
"244","bundesinnenminister","hans-peter","friedrich","csu",13
"245","vor","allem","wenn","man",12
"246","gab","es","in","der",12
"247","ich","bin","immer","noch",12
"248","na","da","bin","ich",12
"249","was","ist","das","für",12
"250","bis","ende","des","jahres",12
"251","geil","ist","das","denn",12
"252","ich","glaub","ich","hab",12
"253","an","der","spitze","der",12
"254","bin","auf","dem","weg",12
"255","jetzt","auf","dem","weg",12
"256","in","der","ersten","reihe",12
"257","ich","mich","auf","den",12
"258","ist","in","der","tat",12
"259","euch","einen","guten","start",12
"260","das","ist","ja","auch",12
"261","bei","mir","ist","es",12
"262","so","viel","zu","tun",12
"263","wir","wünschen","euch","einen",12
"264","and","a","half","men",12
"265","in","frankfurt","am","main",12
"266","euch","allen","einen","guten",12
"267","ab","und","zu","mal",12
"268","jetzt","im","neuen","prinz",12
"269","rutsch","ins","neue","jahr",12
"270","kann","ich","mich","nicht",12
"271","so","einfach","ist","das",12
"272","der","tag","an","dem",12
"273","freut","sich","auf","den",12
"274","in","der","heutigen","zeit",12
"275","alles","andere","als","ein",12
"276","vor","ein","paar","wochen",12
"277","tränen","in","den","augen",12
"278","so","wie","ich","das",12
"279","ich","weiß","es","nicht",12
"280","nicht","aus","den","augen",12
"281","es","kann","nicht","sein",12
"282","kann","nicht","sein","dass",12
"283","überall","auf","der","welt",12
"284","rund","um","die","uhr",12
"285","in","der","nacht","zu",12
"286","da","kann","man","sich",12
"287","das","ist","aber","nicht",12
"288","ich","auch","nicht","mehr",12
"289","nicht","nur","für","die",12
"290","haben","in","den","vergangenen",12
"291","für","das","vierte","quartal",12
"292","im","zusammenhang","mit","der",12
"293","auf","die","frage","ob",12
