"input_clean" "Freq"
"1" "" 269260
"2" "the" 94043
"3" "and" 55151
"4" "to" 53794
"5" "a" 45442
"6" "of" 44172
"7" "i" 41973
"8" "in" 30476
"9" "that" 23434
"10" "it" 22347
"11" "is" 22005
"12" "for" 18280
"13" "s" 15828
"14" "you" 15502
"15" "with" 14537
"16" "was" 14137
"17" "on" 14005
"18" "my" 13594
"19" "â" 13593
"20" "this" 13080
"21" "as" 11637
"22" "have" 10894
"23" "be" 10593
"24" "we" 10380
"25" "but" 10279
"26" "are" 9758
"27" "t" 9588
"28" "not" 8664
"29" "at" 8579
"30" "so" 8400
"31" "he" 7735
"32" "they" 7612
"33" "from" 7557
"34" "all" 7310
"35" "or" 7301
"36" "me" 6993
"37" "one" 6510
"38" "by" 6174
"39" "will" 5821
"40" "about" 5740
"41" "his" 5664
"42" "what" 5638
"43" "out" 5605
"44" "up" 5598
"45" "if" 5510
"46" "an" 5479
"47" "can" 5459
"48" "had" 5421
"49" "her" 5381
"50" "when" 5233
"51" "just" 5064
"52" "there" 5039
"53" "like" 4911
"54" "your" 4874
"55" "she" 4680
"56" "more" 4659
"57" "has" 4634
"58" "time" 4624
"59" "do" 4590
"60" "our" 4587
"61" "their" 4547
"62" "some" 4464
"63" "who" 4398
"64" "them" 4089
"65" "would" 3988
"66" "were" 3967
"67" "been" 3897
"68" "which" 3656
"69" "no" 3646
"70" "m" 3524
"71" "get" 3425
"72" "how" 3410
"73" "then" 3176
"74" "into" 3171
"75" "because" 3021
"76" "now" 2985
"77" "people" 2962
"78" "know" 2950
"79" "other" 2852
"80" "also" 2825
"81" "new" 2816
"82" "iâ" 2810
"83" "only" 2685
"84" "over" 2656
"85" "day" 2631
"86" "us" 2616
"87" "even" 2594
"88" "back" 2585
"89" "first" 2565
"90" "than" 2551
"91" "well" 2531
"92" "really" 2529
"93" "him" 2512
"94" "make" 2493
"95" "see" 2490
"96" "much" 2482
"97" "good" 2471
"98" "very" 2406
"99" "ve" 2395
"100" "am" 2387
"101" "think" 2367
"102" "here" 2345
"103" "little" 2324
"104" "these" 2318
"105" "way" 2293
"106" "love" 2283
"107" "after" 2277
"108" "go" 2212
"109" "could" 2139
"110" "two" 2101
"111" "most" 2090
"112" "itâ" 2083
"113" "where" 2028
"114" "any" 2018
"115" "many" 1996
"116" "life" 1971
"117" "going" 1968
"118" "did" 1948
"119" "being" 1941
"120" "too" 1932
"121" "things" 1910
"122" "those" 1910
"123" "still" 1900
"124" "want" 1876
"125" "re" 1852
"126" "work" 1851
"127" "said" 1850
"128" "made" 1848
"129" "before" 1836
"130" "last" 1828
"131" "while" 1822
"132" "down" 1809
"133" "through" 1807
"134" "off" 1764
"135" "year" 1755
"136" "1" 1728
"137" "take" 1698
"138" "something" 1690
"139" "around" 1663
"140" "its" 1660
"141" "never" 1648
"142" "2" 1644
"143" "may" 1643
"144" "right" 1641
"145" "years" 1632
"146" "great" 1587
"147" "say" 1582
"148" "few" 1581
"149" "got" 1572
"150" "need" 1560
"151" "d" 1547
"152" "world" 1487
"153" "ll" 1484
"154" "donâ" 1471
"155" "home" 1428
"156" "another" 1426
"157" "own" 1416
"158" "book" 1408
"159" "long" 1393
"160" "always" 1388
"161" "should" 1388
"162" "don" 1343
"163" "every" 1343
"164" "why" 1340
"165" "each" 1333
"166" "3" 1328
"167" "week" 1323
"168" "find" 1311
"169" "next" 1300
"170" "look" 1290
"171" "come" 1257
"172" "again" 1254
"173" "use" 1241
"174" "used" 1221
"175" "feel" 1215
"176" "thing" 1215
"177" "since" 1211
"178" "same" 1197
"179" "place" 1188
"180" "such" 1185
"181" "god" 1177
"182" "best" 1175
"183" "today" 1166
"184" "old" 1154
"185" "read" 1108
"186" "sure" 1098
"187" "part" 1082
"188" "though" 1082
"189" "let" 1060
"190" "both" 1053
"191" "lot" 1053
"192" "put" 1047
"193" "until" 1041
"194" "story" 1036
"195" "family" 1034
"196" "thought" 1028
"197" "away" 1025
"198" "end" 1018
"199" "bit" 1002
"200" "better" 1001
"201" "big" 1000
"202" "days" 998
"203" "different" 998
"204" "does" 998
"205" "went" 994
"206" "house" 987
