"input_clean" "Freq"
"1" "" 19485
"2" "the" 7788
"3" "to" 3500
"4" "and" 3472
"5" "a" 3404
"6" "of" 3002
"7" "in" 2609
"8" "s" 1754
"9" "that" 1424
"10" "for" 1362
"11" "is" 1156
"12" "it" 1076
"13" "on" 1075
"14" "with" 1046
"15" "he" 984
"16" "said" 978
"17" "at" 935
"18" "was" 935
"19" "as" 741
"20" "i" 738
"21" "â" 713
"22" "but" 630
"23" "his" 619
"24" "be" 586
"25" "from" 573
"26" "are" 528
"27" "have" 517
"28" "by" 507
"29" "t" 507
"30" "an" 505
"31" "they" 485
"32" "we" 473
"33" "this" 469
"34" "has" 468
"35" "not" 467
"36" "who" 429
"37" "will" 421
"38" "you" 406
"39" "or" 382
"40" "about" 351
"41" "their" 351
"42" "more" 344
"43" "were" 330
"44" "one" 323
"45" "out" 323
"46" "had" 319
"47" "year" 309
"48" "when" 296
"49" "all" 291
"50" "she" 291
"51" "would" 276
"52" "m" 275
"53" "new" 271
"54" "been" 269
"55" "two" 267
"56" "up" 267
"57" "can" 265
"58" "there" 263
"59" "first" 256
"60" "her" 251
"61" "if" 244
"62" "its" 241
"63" "which" 237
"64" "no" 232
"65" "time" 231
"66" "also" 224
"67" "after" 222
"68" "state" 222
"69" "1" 217
"70" "than" 214
"71" "what" 212
"72" "like" 208
"73" "some" 202
"74" "so" 200
"75" "other" 198
"76" "just" 196
"77" "years" 186
"78" "into" 185
"79" "over" 183
"80" "last" 175
"81" "get" 169
"82" "3" 163
"83" "because" 163
"84" "people" 161
"85" "2" 157
"86" "do" 156
"87" "could" 155
"88" "them" 154
"89" "three" 154
"90" "my" 151
"91" "him" 150
"92" "city" 146
"93" "before" 143
"94" "says" 142
"95" "down" 140
"96" "our" 140
"97" "most" 139
"98" "only" 138
"99" "6" 137
"100" "re" 137
"101" "back" 135
"102" "going" 134
"103" "county" 133
"104" "000" 132
"105" "5" 132
"106" "your" 129
"107" "p" 128
"108" "off" 127
"109" "team" 127
"110" "how" 126
"111" "school" 126
"112" "many" 124
"113" "now" 124
"114" "4" 122
"115" "make" 122
"116" "10" 121
"117" "million" 121
"118" "much" 121
"119" "day" 118
"120" "where" 117
"121" "made" 116
"122" "those" 115
"123" "home" 114
"124" "then" 114
"125" "game" 112
"126" "7" 110
"127" "say" 110
"128" "percent" 108
"129" "even" 107
"130" "through" 107
"131" "while" 107
"132" "good" 106
"133" "high" 106
"134" "long" 105
"135" "me" 105
"136" "did" 104
"137" "don" 104
"138" "u" 102
"139" "work" 102
"140" "public" 101
"141" "well" 101
"142" "any" 100
"143" "right" 100
"144" "way" 100
"145" "go" 99
"146" "take" 97
"147" "week" 97
"148" "since" 96
"149" "company" 95
"150" "police" 95
"151" "8" 94
"152" "30" 93
"153" "during" 93
"154" "think" 93
"155" "against" 91
"156" "may" 91
"157" "season" 91
"158" "st" 91
"159" "know" 89
"160" "ve" 89
"161" "11" 88
"162" "9" 88
"163" "center" 88
"164" "run" 87
"165" "four" 86
"166" "should" 86
"167" "today" 86
"168" "five" 85
"169" "law" 85
"170" "group" 84
"171" "being" 82
"172" "own" 82
"173" "such" 82
"174" "very" 82
"175" "old" 81
"176" "second" 81
"177" "d" 80
"178" "each" 80
"179" "house" 80
"180" "including" 80
"181" "every" 79
"182" "another" 78
"183" "next" 78
"184" "night" 77
"185" "part" 77
"186" "see" 77
"187" "same" 76
"188" "want" 76
"189" "got" 75
"190" "little" 75
"191" "family" 74
"192" "still" 74
"193" "both" 72
"194" "big" 71
"195" "former" 71
"196" "place" 71
"197" "12" 70
"198" "20" 70
"199" "around" 70
"200" "end" 70
"201" "play" 70
"202" "between" 69
"203" "court" 69
"204" "officials" 69
"205" "government" 68
"206" "under" 68
"207" "world" 68
"208" "few" 67
"209" "games" 67
"210" "here" 67
"211" "left" 67
"212" "national" 67
"213" "ohio" 67
"214" "top" 67
"215" "until" 67
"216" "better" 66
"217" "friday" 66
"218" "life" 66
"219" "monday" 66
"220" "put" 66
"221" "told" 66
"222" "board" 65
"223" "really" 65
"224" "best" 64
"225" "business" 64
"226" "district" 64
"227" "past" 64
"228" "program" 64
"229" "road" 64
"230" "show" 64
"231" "15" 63
"232" "according" 63
"233" "man" 63
"234" "use" 63
"235" "called" 62
"236" "lot" 62
"237" "never" 62
"238" "these" 62
"239" "department" 61
"240" "great" 61
"241" "look" 61
"242" "us" 61
"243" "april" 60
"244" "cleveland" 60
"245" "days" 60
"246" "president" 60
"247" "went" 60
"248" "away" 59
"249" "early" 59
"250" "park" 59
"251" "points" 59
"252" "something" 59
"253" "street" 59
"254" "too" 59
"255" "win" 59
"256" "came" 58
"257" "case" 58
"258" "community" 58
"259" "found" 58
"260" "need" 58
"261" "students" 58
"262" "federal" 57
"263" "san" 57
"264" "didn" 56
"265" "getting" 56
"266" "players" 56
"267" "white" 56
"268" "14" 55
"269" "children" 55
"270" "health" 55
"271" "money" 55
"272" "building" 54
"273" "job" 54
"274" "six" 54
"275" "states" 54
"276" "third" 54
"277" "50" 53
"278" "least" 53
"279" "local" 53
"280" "members" 53
"281" "month" 53
"282" "though" 53
"283" "water" 53
"284" "york" 53
"285" "among" 52
"286" "come" 52
"287" "months" 52
"288" "set" 52
"289" "coach" 51
"290" "less" 51
"291" "line" 51
"292" "might" 51
"293" "player" 51
"294" "point" 51
"295" "service" 51
"296" "wednesday" 51
"297" "won" 51
"298" "18" 50
"299" "again" 50
"300" "american" 50
"301" "care" 50
"302" "free" 50
"303" "information" 50
"304" "sunday" 50
"305" "times" 50
"306" "used" 50
"307" "doesn" 49
"308" "half" 49
"309" "help" 49
"310" "always" 48
"311" "area" 48
"312" "find" 48
"313" "hit" 48
"314" "jersey" 48
"315" "keep" 48
"316" "several" 48
"317" "thursday" 48
"318" "25" 47
"319" "along" 47
"320" "bill" 47
"321" "later" 47
"322" "ll" 47
"323" "love" 47
"324" "open" 47
"325" "pay" 47
"326" "start" 47
"327" "took" 47
"328" "university" 47
"329" "0" 46
"330" "already" 46
"331" "com" 46
"332" "late" 46
"333" "political" 46
"334" "together" 46
"335" "united" 46
"336" "west" 46
"337" "without" 46
"338" "young" 46
"339" "chief" 45
"340" "expected" 45
"341" "field" 45
"342" "forward" 45
"343" "give" 45
"344" "market" 45
"345" "office" 45
"346" "able" 44
"347" "close" 44
"348" "course" 44
"349" "head" 44
"350" "isn" 44
"351" "march" 44
"352" "once" 44
"353" "plan" 44
"354" "running" 44
"355" "things" 44
"356" "why" 44
"357" "based" 43
"358" "billion" 43
"359" "call" 43
"360" "making" 43
"361" "mr" 43
"362" "saturday" 43
"363" "south" 43
"364" "started" 43
"365" "working" 43
"366" "conference" 42
"367" "enough" 42
"368" "fire" 42
"369" "played" 42
"370" "room" 42
"371" "story" 42
"372" "system" 42
"373" "tuesday" 42
"374" "whether" 42
