input_clean Freq
2 the 46964
3 i 45779
4 to 39172
5 a 30662
6 you 29798
7 and 21937
8 for 19083
9 in 19016
10 it 18984
11 is 18014
12 of 17881
13 s 15559
14 my 14483
15 on 13860
16 that 13640
17 t 11063
18 me 9970
19 be 9366
20 at 9303
21 with 8623
22 have 8456
23 your 8454
24 we 8175
25 so 8153
26 this 8092
27 are 7795
28 just 7555
29 m 6833
30 can 6734
31 what 6426
32 but 6364
33 not 6350
34 all 6348
35 like 6145
36 up 5812
37 was 5757
38 out 5696
39 get 5516
40 if 5425
41 do 5331
42 love 5321
43 good 5011
44 will 4685
45 rt 4599
46 about 4485
47 day 4472
48 thanks 4444
49 one 4241
50 from 4196
51 now 4130
52 when 4019
53 time 3985
54 u 3952
55 no 3943
56 they 3942
57 know 3938
58 how 3886
59 don 3871
60 today 3784
61 great 3745
62 go 3700
63 there 3596
64 he 3592
65 or 3590
66 new 3516
67 as 3463
68 re 3461
69 lol 3422
70 â 3396
71 see 3284
72 an 3272
73 more 3125
74 our 3100
75 who 3093
76 some 3000
77 by 2949
78 too 2918
79 back 2844
80 think 2786
81 going 2741
82 3 2729
83 got 2673
84 people 2663
85 would 2647
86 ll 2636
87 need 2546
88 us 2479
89 happy 2474
90 want 2426
91 make 2413
92 d 2395
93 2 2363
94 follow 2339
95 really 2312
96 has 2311
97 right 2286
98 tonight 2278
99 much 2261
100 been 2198
101 had 2171
102 night 2171
103 am 2102
104 work 2102
105 come 2090
106 did 2045
107 thank 2030
108 last 1973
109 them 1967
110 only 1947
111 why 1940
112 still 1926
113 should 1910
114 she 1896
115 off 1893
116 here 1880
117 its 1876
118 way 1852
119 let 1826
120 well 1820
121 best 1784
122 ve 1771
123 hope 1730
124 her 1723
125 life 1702
126 his 1697
127 never 1695
128 oh 1646
129 than 1635
130 then 1613
131 say 1591
132 next 1584
133 over 1574
134 first 1555
135 show 1553
136 game 1545
137 better 1542
138 im 1532
139 week 1523
140 please 1519
141 twitter 1499
142 where 1482
143 year 1482
144 always 1463
145 tomorrow 1462
146 yes 1460
147 man 1454
148 1 1439
149 him 1423
150 down 1417
151 their 1407
152 take 1393
153 wait 1374
154 any 1363
155 haha 1357
156 were 1341
157 could 1323
158 4 1310
159 even 1307
160 morning 1307
161 getting 1294
162 hey 1287
163 ever 1276
164 very 1256
165 everyone 1252
166 being 1235
167 w 1235
168 after 1225
169 big 1220
170 sure 1216
171 awesome 1212
172 ðÿ 1209
173 feel 1200
174 look 1199
175 looking 1191
176 fun 1188
177 weekend 1183
178 because 1168
179 home 1154
180 again 1136
181 keep 1133
182 something 1127
183 into 1119
184 5 1111
185 gonna 1110
186 thing 1107
187 someone 1102
188 yeah 1093
189 guys 1087
190 nice 1085
191 world 1079
192 bad 1072
193 doing 1071
194 things 1056
195 miss 1053
196 made 1044
197 free 1034
198 school 1031
199 check 1025
200 long 1025
201 watching 1018
202 does 1011
203 may 1010
204 call 1007
205 tweet 995
206 every 994
207 give 992
208 help 987
209 those 979
210 soon 973
211 many 968
212 before 967
213 other 958
214 live 953
215 amazing 951
216 tell 949
217 coming 948
218 most 947
219 little 943
220 hate 940
221 music 939
222 stop 932
223 wish 931
224 same 924
225 start 921
226 days 919
227 done 907
228 said 903
229 birthday 900
230 didn 896
231 god 893
232 friends 891
233 ready 885
234 find 878
235 win 876
236 shit 866
237 girl 864
238 two 861
239 watch 847
240 anyone 841
241 pretty 840
242 play 836
243 another 827
244 old 827
245 talk 827
246 these 820
247 real 812
248 working 804
249 cool 798
250 around 792
251 friday 788
252 com 786
253 hear 785
254 also 777
255 10 768
256 hard 764
257 use 761
258 o 758
259 thought 757
260 wanna 755
261 maybe 753
262 having 750
263 already 745
264 ur 736
265 makes 734
266 team 734
267 sorry 730
268 excited 725
269 years 723
270 away 716
271 while 714
272 wow 705
273 lot 702
274 try 699
275 following 697
276 put 695
277 though 693
278 friend 687
279 ok 677
280 ya 674
281 job 671
282 looks 670
283 true 670
284 house 668
285 making 667
286 p 665
287 yet 665
288 doesn 664
289 welcome 664
290 won 660
291 through 657
292 beautiful 651
293 nothing 651
294 trying 651
295 sleep 650
296 damn 649
297 fuck 649
298 glad 645
299 party 645
300 food 644
301 everything 640
302 family 639
303 dont 637
304 forward 636
305 mean 635
306 baby 633
307 book 630
308 n 629
309 actually 616
310 song 616
311 b 615
312 class 613
313 must 613
314 name 610
315 video 610
316 6 609
317 might 608
318 saw 608
319 read 604
320 favorite 603
321 anything 601
322 movie 601
323 few 600
324 guy 600
325 until 599
326 stay 597
327 mom 594
328 ass 593
329 money 592
330 r 592
331 guess 588
332 kids 584
333 person 584
334 believe 579
335 change 579
336 congrats 577
337 phone 577
338 which 574
339 www 573
340 7 569
341 hit 569
342 season 569
343 omg 563
344 news 556
345 own 556
346 end 555
347 finally 553
348 left 551
349 gotta 549
350 run 549
351 place 547
352 sounds 545
353 funny 543
354 open 542
355 playing 542
356 head 541
357 else 540
358 meet 538
359 support 538
360 hot 534
361 talking 533
362 both 530
363 c 527
364 remember 527
365 stuff 527
366 far 525
367 times 524
368 30 522
369 8 521
370 crazy 521
371 facebook 519
372 since 518
373 says 516
374 without 514
375 went 513
376 such 511
377 hell 510
378 enough 507
379 city 506
380 care 504
381 followers 497
382 mind 495
383 hours 491
384 summer 491
385 cause 488
386 luck 488
387 thinking 485
388 early 482
389 enjoy 481
390 fan 480
391 hi 477
392 high 477
393 part 476
394 ha 475
395 sunday 474
396 face 470
397 ask 468
398 post 465
399 bring 463
400 heard 463
401 needs 463
402 used 461
403 tweets 460
404 car 459
405 almost 457
406 myself 456
407 business 453
408 isn 453
409 word 453
410 email 452
411 saturday 451
412 bed 450
413 kind 450
414 send 449
415 eat 446
416 whole 445
417 buy 443
418 full 443
419 seen 443
420 girls 442
421 idea 441
422 heart 440
423 social 435
424 late 433
425 2012 430
426 wrong 430
427 cant 425
428 dude 425
429 haven 425
430 probably 425
431 hair 424
432 coffee 423
433 monday 423
434 once 422
435 sweet 422
436 taking 422
437 tv 422
438 fans 421
439 yourself 420
440 9 419
441 bro 419
442 feeling 419
443 least 418
444 top 417
445 set 416
446 hour 414
447 lmao 411
448 y 410
449 found 407
450 gets 407
451 month 405
452 reading 404
453 special 404
454 event 403
455 bitch 402
456 seeing 402
457 yesterday 400
458 11 399
459 sad 397
460 together 397
461 lunch 392
462 course 391
463 forget 391
464 story 391
465 learn 390
466 lost 390
467 room 390
468 la 388
469 sometimes 388
470 dinner 387
471 join 387
472 okay 385
473 waiting 385
474 listening 383
475 12 381
476 black 381
477 break 378
478 media 378
479 super 378
480 women 378
481 cute 377
482 meeting 376
483 half 375
484 fucking 372
485 perfect 372
486 wonder 370
487 20 368
488 called 368
489 rock 368
490 definitely 367
491 interesting 366
492 state 362
493 came 361
494 games 361
495 saying 361
496 hahaha 359
497 agree 357
498 boy 355
499 line 353
500 started 353
501 told 352
502 during 351
503 weather 350
504 question 347
505 goes 346
506 text 346
507 red 345
508 drink 343
509 tickets 343
510 move 342
511 chicago 341
512 tired 341
513 bout 340
514 point 340
515 problem 340
516 white 339
517 words 339
518 walk 338
519 minutes 337
520 seriously 337
521 list 336
522 totally 335
523 later 332
524 less 330
525 took 329
526 beer 327
527 online 326
528 loved 325
529 starting 325
530 moment 324
531 sick 324
532 future 323
533 missed 323
534 pick 322
535 thats 322
536 between 321
537 e 321
538 lots 321
539 means 321
540 weeks 321
541 leave 320
542 ago 319
543 austin 317
544 dog 317
545 1st 315
546 chance 314
547 gone 314
548 stupid 314
549 happen 312
550 men 312
551 wants 312
552 mother 311
553 outside 311
554 seems 311
555 yea 308
556 bit 307
557 running 307
558 ugh 307
559 worth 307
560 yo 307
561 wanted 306
562 writing 306
563 each 305
564 using 305
565 bar 304
566 close 304
567 comes 303
568 different 303
569 office 302
570 college 301
571 listen 301
572 past 301
573 woman 301
574 page 299
575 share 299
576 town 299
577 dance 297
578 site 297
579 st 296
580 power 294
581 either 292
582 number 292
583 rain 291
584 second 291
585 service 291
586 sound 291
587 visit 291
588 wonderful 291
589 ill 290
590 15 289
591 beat 289
592 busy 288
593 hello 288
594 info 288
595 ah 287
596 dream 287
597 under 287
598 till 286
599 christmas 285
600 dm 285
601 fall 285
602 rest 285
603 mine 284
604 students 284
605 100 283
606 drive 282
607 others 282
608 park 282
609 turn 282
610 art 281
611 yay 281
612 easy 280
613 three 279
614 young 279
615 boys 278
616 proud 277
617 blog 276
618 able 275
619 against 275
620 kid 275
621 shows 275
622 reason 273
623 store 273
624 wasn 272
625 website 270
626 green 269
627 side 269
628 thx 269
629 huge 268
630 account 267
631 spring 267
632 voice 267
633 film 266
634 fine 266
635 pay 266
636 plan 266
637 ain 265
638 ppl 264
639 trip 264
640 x 264
641 appreciate 263
642 î 263
643 order 263
644 dad 262
645 sign 262
646 date 261
647 vs 261
648 dear 260
649 body 259
650 american 258
651 conference 258
652 final 258
653 matter 257
654 bet 256
655 cold 256
656 ff 255
657 knew 255
658 lets 255
659 deal 254
660 nyc 253
661 em 252
662 everybody 252
663 instead 252
664 mad 252
665 google 251
666 radio 249
667 success 248
668 app 247
669 giving 246
670 history 246
671 series 246
672 weird 246
673 write 246
674 anymore 245
675 eyes 245
676 fight 245
677 thursday 245
678 understand 245
679 mention 244
680 wine 244
681 books 243
682 club 242
683 small 242
684 via 241
685 _ 240
686 eating 240
687 fire 240
688 single 240
689 hopefully 239
690 john 239
691 tweeting 239
692 water 239
693 dead 238
694 library 238
695 shout 238
696 50 237
697 beach 237
698 catch 237
699 fact 237
700 couple 236
701 die 236
702 light 236
703 street 236
704 ones 235
705 smile 235
706 san 234
707 company 233
